rxn_src	dir	enz	protein_stoich	status	comments
BTDDH_c	FWD	YAL060W	YAL060W:2	protStoichAsgnAuto	
BTDDH_c	REV	YAL060W	YAL060W:2	protStoichAsgnAuto	
13GS_c	FWD	GSC2RHO1	"YLR342W:1,YPR165W:1"	protStoichAsgnManual	"Component of the 1,3-beta-glucan synthase (GS), composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with RHO1, which is a GTP-binding protein."
13GS_c	FWD	GSC1RHO1	"YGR032W:1,YPR165W:1"	protStoichAsgnManual	"Component of the 1,3-beta-glucan synthase (GS), composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with SMK1."
16GS_c	FWD	YPR159W	YPR159W:1	protStoichAsgnManual	The cytoplasmic domain interacts with the actin patch assembly proteins LAS17 and SLA1. Interacts with KEG1.
16GS_c	FWD	YGR143W	YGR143W:1	protStoichAsgnManual	The cytoplasmic domain interacts with the actin patch assembly proteins LAS17 and SLA1. Interacts with KEG1.
PRMICI_c	FWD	YIL020C	YIL020C:1	protStoichAsgnAuto	
P5CD_m	FWD	YHR037W	YHR037W:1	protStoichAsgnAuto	
P5CD_m	REV	YHR037W	YHR037W:1	protStoichAsgnAuto	
DHPPDA2_c	FWD	YOL066C	YOL066C:1	protStoichAsgnAuto	
DRAPPRy_c	FWD	YBR153W	YBR153W:2	protStoichAsgnAuto	
HPPK2_m	FWD	YNL256W	YNL256W:2	protStoichAsgnAuto	
AATA_c	FWD	YJL060W	YJL060W:2	protStoichAsgnAuto	
AATA_c	REV	YJL060W	YJL060W:2	protStoichAsgnAuto	
AATA_c	FWD	YER152C	YER152C:2	protStoichAsgnAuto	
AATA_c	REV	YER152C	YER152C:2	protStoichAsgnAuto	
AATA_c	FWD	YGL202W	YGL202W:2	protStoichAsgnAuto	
AATA_c	REV	YGL202W	YGL202W:2	protStoichAsgnAuto	
DPR_c	FWD	YHR063C	YHR063C:1	protStoichAsgnAuto	
IPPMIb_c	FWD	YGL009C	YGL009C:1	protStoichAsgnAuto	
IPPMIb_c	REV	YGL009C	YGL009C:1	protStoichAsgnAuto	
IPPS_c	FWD	YOR108W	YOR108W:2	protStoichAsgnAuto	
UNK3_c	FWD	YHR208W	YHR208W:2	protStoichAsgnAuto	
UNK3_c	FWD	YJR148W	YJR148W:2	protStoichAsgnAuto	
UNK3_c	FWD	YHR137W	YHR137W:2	protStoichAsgnAuto	
UNK3_c	FWD	YGL202W	YGL202W:2	protStoichAsgnAuto	
HCITR_m	FWD	YDR234W	YDR234W:1	protStoichAsgnAuto	
HCITR_m	REV	YDR234W	YDR234W:1	protStoichAsgnAuto	
MCITS_m	FWD	YPR001W	YPR001W:2	protStoichAsgnManual	Monomer and homodimer (PubMed:28076776). Exists as an inactive monomer when phosphorylated (PubMed:28076776). Homodimerization is dependent on dephosphorylation of Ser-462 by PTC7 and is required for activity (PubMed:28076776).
OMCDC_c	FWD	YJR148W	YJR148W:2	protStoichAsgnAuto	
OMCDC_m	FWD	YHR208W	YHR208W:2	protStoichAsgnAuto	
BPNT_c	FWD	YOL064C	YOL064C:1	protStoichAsgnAuto	
PDE1_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto	
PDE1_c	FWD	YGL248W	YGL248W:1	protStoichAsgnAuto	
PDE2_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto	
PDE3_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto	
PDE4_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto	
PDE5_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto	
DB4PS_c	FWD	YDR487C	YDR487C:2	protStoichAsgnAuto	
DHQTi_c	FWD	YDR127W	YDR127W:2	protStoichAsgnAuto	
DHQS_c	FWD	YDR127W	YDR127W:2	protStoichAsgnAuto	
3DSPHR_r	FWD	YBR265W	YBR265W:1	protStoichAsgnAuto	
DDPA_c	FWD	YDR035W	YDR035W:1	protStoichAsgnAuto	
DDPA_c	FWD	YBR249C	YBR249C:1	protStoichAsgnAuto	
3HXPHBH_c	FWD	YDR376W	YDR376W:1	protStoichAsgnAuto	
3HXPHBH_c	FWD	YPL252C	YPL252C:1	protStoichAsgnAuto	
HKYNH_c	FWD	YLR231C	YLR231C:2	protStoichAsgnAuto	
HACD140i_x	FWD	YKR009C	YKR009C:1	protStoichAsgnAuto	
3HAO_c	FWD	YJR025C	YJR025C:2	protStoichAsgnAuto	
3IPM3MT_c	FWD	YER175C	YER175C:1	protStoichAsgnAuto	
IPPMIa_c	FWD	YGL009C	YGL009C:1	protStoichAsgnAuto	
IPPMIa_c	REV	YGL009C	YGL009C:1	protStoichAsgnAuto	
IPMD_c	FWD	YCL018W	YCL018W:2	protStoichAsgnAuto	
3MOBDC_c	FWD	YGR087C	YGR087C:4	protStoichAsgnAuto	
3MOBDC_c	FWD	YLR044C	YLR044C:4	protStoichAsgnAuto	
3MOBDC_c	FWD	YLR134W	YLR134W:4	protStoichAsgnAuto	
MTMOHT_m	FWD	YBR176W	YBR176W:1	protStoichAsgnAuto	
PSCIT_c	FWD	YDR127W	YDR127W:2	protStoichAsgnAuto	
ADCS_c	FWD	YNR033W	YNR033W:1	protStoichAsgnAuto	
ADCL_c	FWD	YMR289W	YMR289W:2	protStoichAsgnAuto	
ABTA_c	FWD	YGR019W	YGR019W:4	protStoichAsgnManual	Homodimer and homotetramer.
4HTHRS_c	FWD	YCR053W	YCR053W:1	protStoichAsgnAuto	
4HBZF_m	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto	
4DPMIPPH_c	FWD	YOR163W	YOR163W:1	protStoichAsgnAuto	
4DPMIPPH_c	REV	YOR163W	YOR163W:1	protStoichAsgnAuto	
4DPMIPPH_c	FWD	YLR410W	YLR410W:1	protStoichAsgnAuto	
4DPMIPPH_c	REV	YLR410W	YLR410W:1	protStoichAsgnAuto	
IPPYP1_c	FWD	YDR017C	YDR017C:1	protStoichAsgnAuto	
MTAP_c	FWD	YLR017W	YLR017W:3	protStoichAsgnAuto	
NTD4pp_c	FWD	YER037W	YER037W:1	protStoichAsgnAuto	
