# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0003_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_1309	chebi:16982;chebi:57540	7.9479;8.1877
r_0003_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_1309	chebi:15686;chebi:57945	7.7328;14.9850
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_2768;yHMPu5000041829_Debaryomyces_fabryi@Seq_4971	chebi:18066	2.0446,13.9477
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_4971;yHMPu5000041829_Debaryomyces_fabryi@Seq_538	chebi:18066	13.9477,4.7870
r_0005_3	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_2768	chebi:18066	2.0446
r_0005_4	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_538	chebi:18066	4.7870
r_0006_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_1136	chebi:18066	24.2604
r_0006_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_1845	chebi:18066	13.1228
r_0006_3	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_2089	chebi:18066	54.9319
r_0006_4	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_3655	chebi:18066	28.2755
r_0006_5	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_5391	chebi:18066	9.6457
r_0006_6	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041829_Debaryomyces_fabryi@Seq_5498	chebi:18066	27.7737
