# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_237;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5458	chebi:16004;chebi:15991	27.5412,26.0497;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5458;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_3744	chebi:16004;chebi:15991	26.0497,5.1254;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5458;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_836	chebi:16004;chebi:15991	26.0497,0.4223;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5458;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_3744	chebi:15991;chebi:16004	;26.0497,5.1254
r_0003_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8201	chebi:16982;chebi:57540	3.3196;4.3179
r_0003_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8201	chebi:15686;chebi:57945	3.3036;5.3075
r_0004	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5458;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_3174	chebi:15991;chebi:16651	;26.0497,17.8716
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_2073;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_4959	chebi:18066	0.2128,2.1424
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_4959;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6930	chebi:18066	2.1424,0.5846
r_0005_3	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_2073;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6683	chebi:18066	0.2128,2.2591
r_0005_4	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6930;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6683	chebi:18066	0.5846,2.2591
