# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Saccharomyces_eubayanus@Seq_3196;Saccharomyces_eubayanus@Seq_325	chebi:16004;chebi:15991	0.1648,2.7433;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Saccharomyces_eubayanus@Seq_3196;Saccharomyces_eubayanus@Seq_3847	chebi:16004;chebi:15991	0.1648,45.1474;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Saccharomyces_eubayanus@Seq_325;Saccharomyces_eubayanus@Seq_3241	chebi:16004;chebi:15991	2.7433,2.1686;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Saccharomyces_eubayanus@Seq_3847;Saccharomyces_eubayanus@Seq_3241	chebi:16004;chebi:15991	45.1474,2.1686;
r_0001_5	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Saccharomyces_eubayanus@Seq_3196;Saccharomyces_eubayanus@Seq_4643	chebi:16004;chebi:15991	0.1648,21.7153;
r_0001_6	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Saccharomyces_eubayanus@Seq_3241;Saccharomyces_eubayanus@Seq_4643	chebi:16004;chebi:15991	2.1686,21.7153;
r_0002_1	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	Saccharomyces_eubayanus@Seq_3196;Saccharomyces_eubayanus@Seq_325	chebi:15991;chebi:16004	;0.1648,2.7433
r_0002_2	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	Saccharomyces_eubayanus@Seq_325;Saccharomyces_eubayanus@Seq_3241	chebi:15991;chebi:16004	;2.7433,2.1686
r_0002_3	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	Saccharomyces_eubayanus@Seq_3196;Saccharomyces_eubayanus@Seq_3847	chebi:15991;chebi:16004	;0.1648,45.1474
r_0002_4	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	Saccharomyces_eubayanus@Seq_3847;Saccharomyces_eubayanus@Seq_3241	chebi:15991;chebi:16004	;45.1474,2.1686
